Symbol,Series,Date,Open,High,Low,Close,TotalVolume,NoTrades,DeliveryVolume
TCS,EQ,3-Jul-15,2573.05,2610,2570,2603.9,481735,34612,263852
TCS,EQ,6-Jul-15,2580.3,2645,2580.3,2633.3,591169,31304,280866
TCS,EQ,7-Jul-15,2632.75,2646.9,2603,2616.25,821418,51719,531468
TCS,EQ,8-Jul-15,2597.95,2621.7,2580.5,2595.1,1333925,85552,956051
TCS,EQ,9-Jul-15,2595,2598.25,2506.65,2522.5,1967061,142048,1156795
TCS,EQ,10-Jul-15,2559,2559,2455,2474.35,4131827,211247,2279427
TCS,EQ,13-Jul-15,2475.4,2518.6,2475.4,2509.55,1140154,53024,672149
TCS,EQ,14-Jul-15,2511,2515,2490,2499.5,851637,49611,583671
TCS,EQ,15-Jul-15,2501,2549.95,2500,2545.75,1001830,76369,665637
TCS,EQ,31-Jul-15,2489.9,2519,2487,2510.75,981888,67496,675985
TCS,EQ,3-Aug-15,2503.4,2525,2500.9,2509.6,589662,50976,404877
TCS,EQ,4-Aug-15,2510.4,2523,2486,2508.9,1171346,82052,973725
TCS,EQ,5-Aug-15,2520,2550,2511,2547.15,494497,46758,339571
TCS,EQ,6-Aug-15,2565,2583,2550.1,2573.3,1105683,67097,888664
TCS,EQ,7-Aug-15,2573,2573,2547,2552.05,594253,51065,457333
TCS,EQ,10-Aug-15,2572,2589,2556.6,2572.1,715591,45499,563414
TCS,EQ,11-Aug-15,2578,2610,2542.1,2604.2,1100153,60746,777937
TCS,EQ,12-Aug-15,2603.1,2691.4,2602,2671.7,1739892,116770,1317431
TCS,EQ,13-Aug-15,2670,2684,2556,2635.6,703213,47820,460590
TCS,EQ,14-Aug-15,2638,2719.35,2637.1,2703.2,1146982,82195,766818
TCS,EQ,17-Aug-15,2690.1,2696.8,2655,2684.75,386822,30502,206955
TCS,EQ,18-Aug-15,2706.9,2749.9,2690,2740.9,958463,100314,623865
